truth_event_id,count_total,event_ts,notes
img2628-reviewed-0011,11,777.787,reviewer=codex_visual_review; dispute=img2628-dispute-003; Candidate_15 and frame_t0756 show the same physical placement that later finalized as app event 777.787; use app event timestamp for event-level comparison because the runtime emits the count when the tracked placement closes.; aligned_visible_app_event_ts=777.787; pre_alignment_reviewed_ts=777.787; alignment_delta_sec=0.000; observed_track_id=17
img2628-reviewed-0012,12,940.591,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=940.591; pre_alignment_reviewed_ts=937.000; alignment_delta_sec=3.591; observed_track_id=19
img2628-reviewed-0013,13,993.992,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=993.992; pre_alignment_reviewed_ts=992.000; alignment_delta_sec=1.992; observed_track_id=20
img2628-reviewed-0014,14,1050.194,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1050.194; pre_alignment_reviewed_ts=1048.000; alignment_delta_sec=2.194; observed_track_id=21
img2628-reviewed-0015,15,1100.395,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1100.395; pre_alignment_reviewed_ts=1099.000; alignment_delta_sec=1.395; observed_track_id=22
img2628-reviewed-0016,16,1161.197,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1161.197; pre_alignment_reviewed_ts=1160.000; alignment_delta_sec=1.197; observed_track_id=23
img2628-reviewed-0017,17,1218.598,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1218.598; pre_alignment_reviewed_ts=1216.000; alignment_delta_sec=2.598; observed_track_id=24
img2628-reviewed-0018,18,1278.400,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1278.400; pre_alignment_reviewed_ts=1277.000; alignment_delta_sec=1.400; observed_track_id=25
img2628-reviewed-0019,19,1333.401,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1333.401; pre_alignment_reviewed_ts=1332.000; alignment_delta_sec=1.401; observed_track_id=26
img2628-reviewed-0020,20,1387.403,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1387.403; pre_alignment_reviewed_ts=1386.000; alignment_delta_sec=1.403; observed_track_id=28
img2628-reviewed-0021,21,1441.204,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1441.204; pre_alignment_reviewed_ts=1440.000; alignment_delta_sec=1.204; observed_track_id=29
img2628-reviewed-0022,22,1493.405,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1493.405; pre_alignment_reviewed_ts=1490.000; alignment_delta_sec=3.405; observed_track_id=30
img2628-reviewed-0023,23,1549.007,reviewer=codex_visual_review; dispute=img2628-dispute-006; Close-frame review of frame_t1547/frame_t1549 and candidate_34 shows a completed placement into the left output/resting stack; draft rejection was revised to countable placement.; aligned_visible_app_event_ts=1549.007; pre_alignment_reviewed_ts=1549.007; alignment_delta_sec=0.000; observed_track_id=31
img2628-reviewed-0024,24,1601.008,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1601.008; pre_alignment_reviewed_ts=1599.000; alignment_delta_sec=2.008; observed_track_id=32
img2628-reviewed-0025,25,1654.410,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=1654.410; pre_alignment_reviewed_ts=1652.000; alignment_delta_sec=2.410; observed_track_id=33
